FIPS,parish_name,Population,Median_Household_Income,Percent_65_over,Percent_Black,Percent_Non_Hispanic_White,Weighted_RH_Ave,Weighted_IH_Ave,covid_deaths_2020,covid_deaths_per_10k_2020,covid_deaths_2021,covid_deaths_july_2020,covid_deaths_july_2020_10k,covid_deaths_per_10k_2021,Black_Deaths_per_10k_2021,White_Deaths_per_10k_2021,Other_Deaths_per_10k_2021,Age_Adjusted_Cancer_Incidence_Rate_cases_per_100k,Percent_Adults_with_Diabetes,Percent_Uninsured,Segregation_Index_black_white,Percent_Female,Percent_Rural,Percent_Fair_or_Poor_Health,Percent_Smokers,Percent_Adults_with_Obesity,twentyth_Percentile_Income,Cancer_Alley,PM_2_5_Total_Emissions,PM_2_5_per_km_2,Average_Daily_PM2_5,RSEI_score,RSEI_rank_compared_to_all_risk_screening_score,RSEI_rank_compared_to_all_hazard,RSEI_rank_compared_to_all_pouds_emitted,TRI_Facilities,Total_On_Off_site_releases_and_disposal_pounds,Total_On_Site_Air_pounds
22069,Natchitoches Parish,38158,36298,16.59380739,40.98140149,52.87772576,0.585890259,0.009804381,58,15.19995807,85,14,3.668955396,22.27580062,24.72266244,22.01378254,,481.5,15.7,9.632281159,47.13596076,51.915466,50.05054845,26.00375773,23.70099409,36.4,10239,0,2842.962478,0.844655268,9.6,1131.06,1183.00,762.00,195.00,6.00,1700000.00,912900.00
22071,Orleans Parish,390144,38855,14.77215183,59.11597265,30.75144627,0.559697834,0.027686297,679,17.40383038,789,544,13.94356955,20.22330217,24.48569305,15.25414769,5.729251923,447.4,10.6,9.863297457,65.91761215,52.668757,0.591863979,21.19276632,22.60962413,29.6,13143,1,1435.911729,1.584715338,9,0.20,2145.00,2171.00,1718.00,2.00,8000.00,5300.00
22073,Ouachita Parish,153279,44371,14.79009549,37.31542321,58.02557048,0.593518356,0.014306983,284,18.52830459,446,95,6.197848368,29.09726708,27.0053156,30.03518407,9.208103131,494,14.1,8.395497717,68.48449269,52.06344069,24.19138694,23.09344831,21.43165679,40.1,15763,0,2191.205486,1.339264951,9.5,237367.33,178.00,314.00,70.00,6.00,11400000.00,2600000.00
22075,Plaquemines Parish,23197,58643,13.42588637,20.72191371,62.99017514,0.424033097,0.01547847,21,9.052894771,26,18,7.759624089,11.20834591,16.71541997,9.451200302,11.04565538,461.3,16.5,11.69451074,55.17329728,49.57283212,19.53823453,19.17469658,19.50308214,37.5,18859,1,1025.862581,0.154284837,8.9,9677.97,697.00,547.00,199.00,8.00,1300000.00,404600.00
22077,Pointe Coupee Parish,21730,46603,20.5834093,35.32816773,60.26891522,0.565571703,0.011686769,57,26.23101703,73,28,12.88541187,33.59410953,33.02006604,34.80450237,,473.3,11.2,9.867385929,49.52410953,51.94621696,57.81071836,19.91937283,19.59360247,31.2,15288,0,1494.797493,0.977620118,9.3,180.84,1508.00,1445.00,560.00,3.00,392800.00,311400.00
22079,Rapides Parish,129648,48116,16.3715323,31.74277355,61.11808949,0.602885251,0.012201245,212,16.35196841,312,83,6.401949895,24.06516105,26.76480428,22.79943658,8.437394533,477.7,14.5,9.639394249,59.47184108,51.6183882,39.52725035,21.54231819,22.43795674,39.7,17949,0,4022.756777,1.140779683,9.3,11598.63,660.00,324.00,428.00,13.00,635700.00,474300.00
22081,Red River Parish,8442,36865,19.09873776,39.36534151,56.62380559,0.550847782,0.012515807,29,34.35204928,38,9,10.66098081,45.01303009,53.50772889,38.47711624,31.64556962,422.2,15.6,8.833455613,49.46516855,51.8933585,100,22.29647422,21.8837617,31.2,13299,0,1287.02615,1.235489861,9.4,41.34,1691.00,1157.00,1367.00,2.00,60400.00,29300.00
22083,Richland Parish,20122,35103,17.55150555,35.37044374,60.78645008,0.49886185,0.009116275,39,19.3817712,53,5,2.484842461,26.33933009,21.95992314,29.24438824,,461.5,18.8,9.778414042,50.74679465,51.20839937,66.04583836,25.16674499,23.22691861,35.6,14807,0,788.159572,0.539169691,9.6,44.68,1684.00,1543.00,899.00,1.00,2600.00,367.00
22085,Sabine Parish,23884,36423,20.72237017,16.66527963,67.34770306,0.528573503,0.008620068,44,18.42237481,60,3,1.25607101,25.1214202,22.89493767,29.2799522,5.844535359,450.5,11.4,12.5661936,45.46208184,50.64081225,88.19791194,20.33052406,20.95449574,45.8,14380,0,647.9655949,0.247328174,9.4,1296.91,1155.00,1223.00,919.00,4.00,113600.00,110200.00
22087,St. Bernard Parish,47244,43983,11.42954988,22.91260889,62.06844888,0.547282654,0.027877191,39,8.25501651,49,24,5.08001016,10.37168741,14.36093825,10.67906276,,480.3,13.4,10.22995864,37.26883832,50.99419961,4.253837368,22.94613165,22.51784205,42.5,18122,1,1943.121929,0.348109537,9,93022.56,301.00,280.00,325.00,4.00,752800.00,512400.00
22089,St. Charles Parish,53100,67585,13.56682237,25.98952325,64.86885153,0.949266563,0.019408916,73,13.74764595,91,50,9.416195857,17.13747646,24.34309444,14.95581237,5.045408678,462.1,10.9,7.377919321,50.72707812,50.94460939,11.48920046,18.54210415,18.72447371,37.3,28516,1,3735.957428,3.634252227,9,3440485.99,22.00,13.00,42.00,21.00,22800000.00,2800000.00
22091,St. Helena Parish,10132,38699,19.93763399,51.93919314,44.19216527,0.596623477,0.009991252,5,4.93485985,10,1,0.98697197,9.8697197,,,,502.3,11.4,10.12004802,13.45859525,51.7930228,100,26.77302318,23.91719357,32.4,14697,0,292.8790288,0.27607298,8.8,,,,,0.00,0.00,0.00
22093,St. James Parish,21096,53903,17.16024148,48.84251557,48.25307791,0.656342967,0.01577809,43,20.383011,50,30,14.22070535,23.70117558,31.06759556,16.43305945,,514.8,8.7,7.104041662,34.03318629,51.6993868,27.70337526,20.20737661,19.00695547,38.1,18050,1,1930.680388,2.948353339,9.5,375983.76,135.00,12.00,130.00,11.00,2900000.00,1000000.00
22095,St. John the Baptist Parish,42837,50830,14.22749166,57.04195999,33.97323083,0.674504934,0.016412701,119,27.77972314,137,88,20.54298854,31.98169806,29.76190476,37.77751947,,467.6,10,8.632432432,41.53840503,51.21804372,13.44612839,21.52610658,20.51601554,43.3,20988,1,1385.996072,1.305173203,9.2,2180105.75,37.00,21.00,231.00,10.00,1900000.00,690500.00
22097,St. Landry Parish,82124,36624,16.10361993,41.28002513,54.48987483,0.553329597,0.011687832,202,24.59695095,253,63,7.671326287,30.80707223,26.51515152,33.89469196,,525.3,14,9.793681311,42.69655117,51.73022087,48.17231124,24.850129,24.39896934,33.7,12054,0,1511.8005,0.621567676,9.5,5009.86,828.00,720.00,441.00,2.00,469700.00,256700.00
22099,St. Martin Parish,53431,46229,15.02582943,29.74953843,64.57544619,0.533726301,0.012411252,82,15.346896,115,30,5.614718048,21.52308585,27.95958569,19.96906202,,515.8,15.1,9.917970032,27.28696557,50.84202085,49.57055215,19.89515059,21.50437653,36.9,19044,0,1121.233014,0.530050432,9.6,3.53,1934.00,2027.00,1304.00,2.00,34200.00,34200.00
22101,St. Mary Parish,49348,39764,16.55884598,31.3657733,56.17189697,0.53509655,0.012409272,102,20.66953068,134,39,7.903055848,27.15408932,37.13330858,22.13738009,9.076469253,513.2,15.5,10.62681315,40.91566189,50.68710572,13.03934126,23.92194192,21.57765947,38,17199,0,2605.729452,0.898506032,9,18592.78,590.00,595.00,331.00,13.00,904800.00,700000.00
22103,St. Tammany Parish,260419,67054,16.92837578,12.25286795,78.38449349,0.55024082,0.013288468,345,13.2478813,519,188,7.219135317,19.92942143,21.13881153,21.56625527,2.278423331,497.8,11.2,8.922298721,43.80399443,51.46274277,23.21810559,16.28533331,17.70928058,30.2,27469,0,1970.852423,0.694537343,9.3,81752.95,316.00,492.00,1730.00,3.00,52300.00,5300.00
22105,Tangipahoa Parish,134758,47128,14.37466829,30.06421134,63.13491856,0.632577704,0.01359375,183,13.57989878,291,46,3.41352647,21.59426528,20.72914777,23.52081478,6.93000693,467,10.4,10.11211554,34.64168985,51.5686553,40.92917248,22.13936065,22.02475615,38.7,17407,0,1207.017363,0.552205026,8.9,155.97,1531.00,1644.00,312.00,4.00,738400.00,1100.00
22107,Tensas Parish,4334,28962,24.40609592,53.89959659,42.29045271,0.455752515,0.00818829,3,6.922011998,8,0,0,18.45869866,,,,362.7,19.4,10.97070649,37.5691636,51.63603765,100,34.95535372,28.47731875,30.7,9855,0,490.5188164,0.29527472,9.2,,,,,,,
22109,Terrebonne Parish,110461,51665,14.39727619,18.95587321,66.67387251,0.518297994,0.016598326,149,13.48892369,219,68,6.156018866,19.82600194,25.47711692,19.46918217,7.904444054,509.3,11.4,11.99987405,33.18979185,50.77597932,20.62846415,20.85500197,22.29123563,41.6,18951,0,3539.949866,0.656399501,8.7,4058.26,881.00,1069.00,1342.00,8.00,35300.00,31900.00
22111,Union Parish,22108,43584,20.55530676,24.84997761,69.18943126,0.565993024,0.009608045,66,29.85344672,77,30,13.56974851,34.82902117,60.77940651,25.58342693,23.39181287,451.1,16.3,10.1881858,46.14504581,50.48813256,82.91008318,20.66814716,19.36931099,38.1,14707,0,710.1675825,0.302867876,9.8,4.79,1903.00,1898.00,1059.00,2.00,91500.00,66300.00
22113,Vermilion Parish,59511,48263,15.22981782,14.15677754,78.38375397,0.59741126,0.011418692,85,14.28307372,119,9,1.512325452,19.9963032,20.35968782,19.28877763,17.44439599,487.6,9.8,10.71737082,50.44848337,51.57278957,54.62163141,20.81631301,20.42132765,38.8,20190,0,10070.55964,2.521212542,9.4,1105.22,1188.00,1364.00,997.00,6.00,125900.00,82500.00
22115,Vernon Parish,47429,47664,12.19607041,13.82726156,70.04707327,0.662031435,0.010080374,76,16.02395159,101,12,2.53009762,21.2949883,14.79091031,23.28710412,,510.7,13,8.327314748,47.98587272,46.69463774,49.8968166,19.88470052,20.29266779,35.4,20966,0,3832.278354,1.103980872,9.5,235.78,1461.00,1643.00,2002.00,2.00,84000.00,226.00
22117,Washington Parish,46194,36850,17.93611266,30.11034305,65.42655962,0.593201785,0.012290119,87,18.83361476,129,51,11.04039486,27.92570464,32.17273182,26.65895805,,491.7,23,10.1300813,38.68048224,50.56674252,66.6744403,26.11445318,23.23606837,42.8,13186,0,1303.728387,0.744777933,9.1,36093.76,473.00,359.00,104.00,2.00,2300000.00,2100000.00
22119,Webster Parish,38340,35070,19.75875045,34.00948503,61.72740863,0.567155571,0.012087264,68,17.73604591,111,12,3.129890454,28.9514867,30.95518868,26.21231979,22.62443439,506.7,14.4,9.397261165,35.2778227,51.38666942,53.04195889,23.43071078,22.964288,32.9,14575,0,698.6988138,0.438706093,9.9,2911.97,958.00,957.00,1270.00,2.00,40200.00,38700.00
22121,West Baton Rouge Parish,26465,58205,13.64891967,39.37639535,55.30707231,0.93880414,0.026024501,48,18.13716229,59,32,12.09144153,22.29359531,34.88372093,14.65884861,,499.8,9.1,7.481793097,27.65092603,50.63003746,30.46073651,19.83717815,20.02215404,37.9,23602,1,1133.079657,2.146882175,9,,,,,11.00,1200000.00,376200.00
22123,West Carroll Parish,10830,39332,19.03114187,15.6164633,78.47386633,0.437520603,0.007734212,34,31.39427516,41,5,4.616805171,37.8578024,33.33333333,37.8113879,25.77319588,475.6,24.8,10.81049149,19.26360777,49.11673648,100,21.21570143,21.27797866,46.8,16105,0,328.3895905,0.351606643,9.6,,,,,,,
22125,West Feliciana Parish,15568,60296,15.02587322,44.27554981,52.93661061,0.521375376,0.011423238,25,16.05858171,34,14,8.992805755,21.83967112,26.44336712,19.41040883,,482.1,8.4,6.866370809,35.86484515,34.6313066,100,20.84828416,21.89836709,21.8,19789,0,468.6286203,0.424737775,9,,,,,1.00,638800.00,571600.00
22127,Winn Parish,13904,40133,18.5793123,30.61412198,64.64553559,0.587350152,0.00827859,30,21.57652474,43,5,3.596087457,30.92635213,28.36569932,30.15179871,34.12969283,455.3,22.1,9.189508973,38.7716696,46.40582991,64.89257494,24.42104522,22.92733809,37.3,15241,0,1682.437248,0.678964079,9.4,1304.39,1154.00,1046.00,915.00,5.00,111200.00,111200.00
